component_order	component	trait_order	trait	trait_label	scaled_ct_score	cumsum_scaled
1	9	1	Alanine_aminotransferase	Alanine aminotransferase	0.0224294509398897	0.0942583461605333
1	9	2	Albumin	Albumin	0.0109373163566581	0.167555304852067
1	9	3	Alkaline_phosphatase	Alkaline phosphatase	0.00309740593888528	0.18416151989994
1	9	4	Apolipoprotein_A	Apolipoprotein A	0.000305676639784022	0.201213740537336
1	9	5	Apolipoprotein_B	Apolipoprotein B	0.00022054626563309	0.20151941717712
1	9	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.00566889869121407	0.178492621208726
1	9	7	AST_ALT_ratio	AST ALT ratio	0.0209135189486324	0.116687797100423
1	9	8	C_reactive_protein	C reactive protein	0.000133439754164217	0.202077763673921
1	9	9	Calcium	Calcium	0.0135160085401464	0.154039296311921
1	9	10	Cholesterol	Cholesterol	0.000161627310672244	0.201916136363249
1	9	11	Creatinine	Creatinine	0.000394362183540088	0.200445989565961
1	9	12	Creatinine_in_urine	Creatinine in urine	0.00184623260567808	0.187258925838825
1	9	13	Cystatin_C	Cystatin C	5.63380516913015e-05	0.202499202575886
1	9	14	Direct_bilirubin	Direct bilirubin	0.000176172920495535	0.201739963442753
1	9	15	eGFR	eGFR	0.000373388787835318	0.200840351749501
1	9	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.0164379802628656	0.137601316049055
1	9	17	Glucose	Glucose	0.000699902140107846	0.198713193106556
1	9	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.0016845241730628	0.189105158444503
1	9	19	HDL_cholesterol	HDL cholesterol	0.000727219491416239	0.19798597361514
1	9	20	IGF_1	IGF 1	0.0013165718709389	0.192326908597555
1	9	21	LDL_direct	LDL direct	0.000127927210724351	0.202211203428085
1	9	22	Lipoprotein_A	Lipoprotein A	4.83329091464939e-05	0.202555540627577
1	9	23	Microalbumin_in_urine	Microalbumin in urine	7.03695190011823e-05	0.202428833056885
1	9	24	Non_albumin_protein	Non albumin protein	0.0375386035466702	0.0567197426138632
1	9	25	Phosphate	Phosphate	0.000511873204544163	0.199934116361417
1	9	26	Potassium_in_urine	Potassium in urine	0.00120272366247936	0.194917979534815
1	9	27	SHBG	SHBG	0.00108201693670011	0.196120703197294
1	9	28	Sodium_in_urine	Sodium in urine	0.000783253481145782	0.197202720133994
1	9	29	Testosterone	Testosterone	8.97024180750718e-05	0.20233913063881
1	9	30	Total_bilirubin	Total bilirubin	0.000521021114752731	0.199413095246664
1	9	31	Total_protein	Total protein	0.0567197426138632	0
1	9	32	Triglycerides	Triglycerides	0.00153722597998924	0.190789682617566
1	9	33	Urate	Urate	0.00127449906632081	0.193643480468494
1	9	34	Urea	Urea	8.64359430853837e-06	0.20261966217193
1	9	35	Vitamin_D	Vitamin D	1.57886352065965e-05	0.202603873536724
2	18	1	Alanine_aminotransferase	Alanine aminotransferase	0.00348902063987269	0.147651638803621
2	18	2	Albumin	Albumin	4.85677451435958e-05	0.16081312442485
2	18	3	Alkaline_phosphatase	Alkaline phosphatase	6.94648684414889e-05	0.160629515021138
2	18	4	Apolipoprotein_A	Apolipoprotein A	9.6292372845375e-05	0.160448207399406
2	18	5	Apolipoprotein_B	Apolipoprotein B	0.000192746815443972	0.159967106899504
2	18	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.0121259340127123	0.131741833072044
2	18	7	AST_ALT_ratio	AST ALT ratio	0.0324130791356505	0.0370484580635392
